id,name,s2006e2020bao,s2006e2020bah,s2006e2020bal
4565,,,,
4566,時碩工業,-4.7,-5.8,-1.5
4568,科際精密,-3.6,-4.5,-1.9
4570,,,,
4571,鈞興-KY,-6.4,-6.8,-3.3
4572,駐龍,-24.2,-24.2,-21.5
4573,,,,
4575,,,,
4576,大銀微系統,2.5,1.8,5.1
4577,,,,
4578,,,,
4580,捷流閥業,-16.1,-16.1,-12.1
4581,光隆精密-KY,-12.0,-12.5,-9.5
4582,,,,
4583,,,,
4609,唐鋒,1.1,0.4,1.9
4702,中美實,6.9,5.8,7.9
4706,大恭,7.9,7.4,8.2
4707,磐亞,1.5,0.3,2.7
4711,永純,5.9,5.3,6.3
4712,南璋,2.3,1.5,3.0
4714,永捷,7.3,6.5,7.9
4716,大立,6.1,5.2,6.7
4720,德淵,3.2,2.5,3.9
4721,美琪瑪,13.0,12.2,13.5
4722,國精化,10.5,9.6,11.3
4724,,,,
4725,信昌化,-5.5,-7.0,-2.7
4726,永昕,-6.8,-8.4,-3.8
4728,雙美,11.1,9.9,12.1
4729,熒茂,-3.3,-4.7,-1.5
4730,,,,
4732,,,,
4735,豪展,20.8,19.6,21.8
4736,泰博,14.1,13.2,14.9
4737,華廣,0.8,-0.3,2.0
4738,,,,
4739,康普,13.8,12.8,14.3
4741,泓瀚,-14.8,-15.7,-12.6
4743,合一,30.3,29.0,31.2
4744,皇將,-5.2,-5.9,-3.7
4745,合富-KY,-4.2,-5.1,-2.9
4746,台耀,-3.5,-4.6,-2.0
4747,強生,-5.4,-6.0,-4.1
4752,,,,
4754,國碳科,2.3,1.5,3.4
4755,三福化,12.9,11.9,13.6
4757,,,,
4760,勤凱,69.4,66.8,71.6
4763,材料-KY,2.2,1.2,3.5
4764,雙鍵,5.6,4.8,6.7
4765,,,,
4766,南寶,21.9,20.7,22.9
4767,誠泰科技,10.0,9.3,10.4
4768,,,,
4769,,,,
4770,,,,
4803,VHQ-KY,-14.7,-15.4,-12.1
4804,大略-KY,-21.0,-23.4,-15.2
4806,昇華,-25.7,-27.2,-19.6
4807,日成-KY,-14.7,-15.5,-11.9
4903,聯光通,4.6,3.9,5.2
4904,遠傳,7.4,7.1,7.7
4905,台聯電,12.8,12.1,13.2
4906,正文,1.7,0.9,2.9
4907,富宇,13.7,12.8,15.0
4908,前鼎,6.8,6.0,7.6
4909,新復興,-0.1,-0.9,1.3
4911,德英,-5.9,-7.1,-4.4
4912,聯德控股-KY,15.8,14.8,16.5
4915,致伸,8.9,8.1,9.6
4916,事欣科,7.2,6.5,8.4
4919,新唐,3.7,2.3,5.2
4920,,,,
4923,,,,
4924,欣厚-KY,-4.0,-5.7,-1.5
4925,,,,
4927,泰鼎-KY,12.2,11.2,13.0
4930,燦星網,1.0,-0.3,2.7
4931,新盛力,-14.7,-15.4,-12.9
4933,友輝,2.6,1.3,4.2
4934,太極,7.8,6.0,10.4
4935,茂林-KY,9.5,7.9,10.9
4938,和碩,8.8,8.0,9.4
4939,亞電,5.1,3.8,6.8
4942,嘉彰,3.1,2.5,4.5
4943,康控-KY,14.7,13.2,15.8
4944,兆遠,1.2,-2.0,4.7
4945,陞達科技,-1.8,-2.1,-1.2
4946,辣椒,-7.7,-9.3,-4.2
4947,昂寶-KY,7.0,5.6,8.5
4949,,,,
4950,牧東,3.1,1.6,5.6
4951,,,,
4952,凌通,10.7,9.8,11.4
4953,緯軟,18.2,16.8,19.8
4956,光鋐,-0.4,-1.8,1.6
4958,臻鼎-KY,11.5,10.7,11.9
4960,誠美材,-0.7,-1.7,0.8
4961,天鈺,51.9,49.2,54.4
4966,譜瑞-KY,23.2,22.2,24.1
4967,十銓,38.7,36.9,40.9
4968,立積,36.4,33.9,38.6
4971,IET-KY,-2.3,-3.0,-0.6
4972,湯石照明,4.2,3.6,4.9
4973,廣穎,3.9,2.8,5.3
4974,亞泰,12.5,11.8,13.0
4976,佳凌,10.2,8.4,12.3
4977,眾達-KY,10.6,9.8,11.9
4979,華星光,5.3,4.7,6.5
4980,,,,
4981,,,,
4985,,,,
4987,科誠,6.1,5.4,6.7
4989,榮科,-2.9,-3.5,0.9
4991,環宇-KY,4.1,3.3,5.2
4994,傳奇,8.7,8.3,9.5
4995,晶達,9.7,8.8,10.4
4999,鑫禾,1.1,0.5,2.5
5007,三星,8.9,8.4,9.4
5009,榮剛,2.3,1.6,3.1
5011,久陽,19.4,17.8,21.0
5013,強新,12.0,11.5,12.4
5014,建錩,7.2,6.3,8.0
5015,華祺,11.9,11.2,12.3
5016,松和,9.0,8.5,9.4
5102,富強,5.3,4.8,5.7
5201,凱衛,4.8,3.5,6.2
5202,力新,6.8,5.6,8.0
5203,訊連,6.1,5.5,6.6
5205,中茂,0.3,-1.4,1.7
5206,坤悅,12.7,11.3,14.1
5209,新鼎,13.6,13.0,14.0
5210,寶碩,1.8,1.0,2.6
5211,蒙恬,2.2,1.5,2.9
5212,凌網,9.1,8.2,9.9
5213,亞昕,18.4,17.8,18.7
5214,,,,
5215,科嘉-KY,22.6,21.6,23.4
5216,,,,
5219,,,,
5220,萬達光電,19.3,17.7,20.4
5222,,,,
5223,安力-KY,28.2,26.4,30.8
5225,東科-KY,-4.1,-4.9,-2.3
5227,立凱-KY,-14.2,-15.2,-9.9
5228,,,,
5230,雷笛克光學,-3.3,-3.8,-2.0
5233,,,,
5234,達興材料,16.2,15.4,16.9
5236,,,,
5240,,,,
5243,乙盛-KY,8.2,7.1,9.7
5244,,,,
5245,智晶,-0.1,-1.3,1.5
5246,,,,
5248,,,,
5251,天鉞電,-6.5,-7.2,-5.2
5254,,,,
5256,,,,
5258,虹堡,-7.8,-9.5,-5.4
5259,奕智博,-11.0,-12.9,-3.8
5260,,,,
5262,,,,
5263,智崴,9.0,8.3,9.6
5264,鎧勝-KY,-1.3,-2.8,0.8
5266,F*AS,-7.4,-8.1,-5.2
5267,,,,
5268,,,,
5269,祥碩,40.8,39.1,42.3
5271,,,,
5272,笙科,-2.8,-3.7,-1.1
5274,信驊,37.0,36.2,37.7
5276,達輝-KY,-5.4,-6.7,-3.3
5277,,,,
5278,尚凡,4.8,1.6,8.8
5281,大峽谷-KY,-3.0,-4.5,-0.8
5283,禾聯碩,15.6,15.1,17.1
5284,jpp-KY,-4.8,-5.3,-3.7
5285,界霖,14.8,13.9,15.8
5286,,,,
5287,數字,2.6,1.8,3.5
5288,豐祥-KY,8.5,7.4,9.4
5289,宜鼎,20.1,19.3,20.6
5291,邑昇,-1.5,-2.9,0.4
5292,,,,
5294,,,,
5295,,,,
5297,,,,
5298,,,,
5299,杰力,18.5,17.0,20.2
5301,寶得利,5.3,3.5,6.8
5302,太欣,-1.1,-2.4,0.1
5304,鼎創達,3.7,2.6,4.9
5305,敦南,5.9,4.8,7.0
5306,桂盟,28.6,27.7,29.7
5309,系統電,7.5,5.8,9.5
5310,天剛,12.1,10.7,13.5
5312,寶島科,9.7,9.2,10.0
5314,世紀,-3.0,-4.6,-1.2
5315,光聯,5.7,3.2,8.1
5317,凱美,14.9,13.9,15.8
5321,友銓,13.6,11.9,15.2
5324,士開,18.4,17.8,18.5
5328,華容,5.4,4.2,6.8
5340,建榮,12.1,10.5,13.3
5344,立衛,12.4,11.8,12.7
5345,天揚,1.6,0.1,3.5
5346,力晶,-42.0,-44.9,-29.6
5347,世界,15.6,14.5,16.9
5348,系通,-0.4,-1.2,0.4
5349,先豐,7.2,5.6,8.7
5351,鈺創,2.3,0.8,4.5
5353,台林,8.5,7.7,9.1
5355,佳總,0.1,-0.9,1.2
5356,協益,12.1,11.2,13.0
5364,力麗店,5.3,-0.4,9.3
5371,中光電,5.4,4.4,6.4
5381,合正,1.0,-1.5,3.6
5383,金利,4.5,3.4,5.7
5386,青雲,25.1,24.1,25.6
5387,茂德科技,-46.2,-47.2,-34.7
5388,中磊,9.5,8.6,10.9
5392,應華,-0.7,-1.4,0.2
5398,慕康生醫,9.9,9.2,10.5
5403,中菲,16.7,16.3,17.0
5410,國眾,17.3,16.6,17.8
5425,台半,13.0,12.2,13.8
5426,振發,3.9,3.3,4.4
5432,達威,6.2,5.2,8.6
5434,崇越,9.4,8.4,10.6
5438,東友,1.0,0.3,1.9
5439,高技,12.5,11.6,13.4
5443,均豪,8.7,7.3,10.1
5450,南良,3.2,2.1,4.0
5452,佶優,1.2,-0.0,2.7
5455,昇益,15.2,14.4,15.7
5457,宣德,13.2,11.3,15.2
5460,同協,1.2,0.5,2.2
5464,霖宏,0.3,-0.6,1.2
5465,富驊,5.9,3.9,8.0
5468,凱鈺,11.5,10.5,12.3
5469,瀚宇博,9.7,8.8,10.8
5471,松翰,7.6,6.9,8.4
5474,聰泰,17.2,15.8,18.5
5475,德宏,-4.5,-6.4,-2.2
5478,智冠,8.1,7.4,9.0
5481,新華,-0.1,-1.4,1.2
5483,中美晶,11.6,10.6,12.7
5484,慧友,0.8,-0.9,2.4
5487,通泰,11.3,10.5,12.0
5488,松普,-1.1,-2.3,0.2
5489,彩富,7.3,6.8,7.8
5490,同亨,4.2,3.3,5.2
5493,三聯,12.8,12.1,13.3
5498,凱崴,2.9,1.0,4.9
5508,永信建,11.0,10.4,11.5
5511,德昌,17.1,16.6,17.3
5512,力麒,6.1,5.3,7.1
5514,三豐,11.9,11.3,12.2
5515,建國,7.4,7.0,7.9
5516,雙喜,2.2,1.2,2.9
5519,隆大,6.3,5.4,7.1
5520,力泰,12.0,11.6,12.3
5521,工信,-1.1,-2.1,0.3
5522,遠雄,6.1,5.2,7.6
5523,豐謙,3.1,1.8,4.3
5525,順天,8.9,8.2,9.6
5529,志嘉,2.5,1.6,4.1
5530,龍巖,6.5,4.7,8.2
5531,鄉林,7.7,7.0,8.5
5533,皇鼎,4.7,4.1,5.5
5534,長虹,14.1,13.4,14.7
5536,聖暉,12.3,11.5,12.9
5538,東明-KY,10.6,10.0,11.0
5541,,,,
5543,桓鼎-KY,23.3,21.4,24.0
5546,永固-KY,38.5,36.3,38.6
5547,,,,
5601,台聯櫃,6.6,6.1,6.9
5603,陸海,6.6,5.8,7.4
5604,中連貨,12.6,12.1,13.1
5607,遠雄港,3.5,2.7,4.3
5608,四維航,0.7,0.1,1.5
5609,中菲行,15.0,14.5,15.6
5701,劍湖山,-6.4,-7.5,-3.9
5703,亞都,1.7,1.1,2.2
5704,老爺知,5.3,4.5,5.8
5706,鳳凰,2.7,2.1,3.5
5820,日盛金,7.7,6.7,8.9
5827,,,,
5828,,,,
5830,,,,
5831,,,,
5833,,,,
5834,,,,
5835,,,,
5836,,,,
5838,,,,
5839,,,,
5839A,,,,
5840,,,,
5842,,,,
5843,,,,
5844,,,,
5846,,,,
5847,,,,
5848,,,,
5849,,,,
5850,,,,
5852,,,,
5857,,,,
5858,,,,
5859,,,,
5862,,,,
5863,,,,
5864,致和證,20.1,18.6,21.3
5865,,,,
5866,,,,
5867,,,,
5868,,,,
5870,,,,
5871,中租-KY,26.3,25.7,26.6
5872,,,,
5873,,,,
5874,,,,
5875,,,,
5876,上海商銀,7.3,6.6,8.0
5878,台名,7.6,7.2,7.8
5880,合庫金,7.2,6.8,7.5
5901,,,,
5902,德記,7.9,7.0,8.7
5903,全家,13.0,12.5,13.1
5904,寶雅,29.0,28.4,29.3
5905,南仁湖,-0.3,-1.3,1.0
5906,台南-KY,14.5,10.3,18.9
5907,大洋-KY,-9.2,-10.1,-7.1
6005,群益證,4.8,4.2,5.7
6008,凱基證,3.7,2.6,5.5
6014,,,,
6015,宏遠證,4.6,3.8,5.8
6016,康和證,5.3,4.6,6.2
6020,大展證,2.6,1.9,3.2
6021,大慶證,7.4,6.6,8.2
6023,元大期,8.7,8.3,8.9
6024,群益期,7.2,6.7,7.7
6025,,,,
6026,福邦證,6.9,5.9,7.9
6027,,,,
6028,,,,
6029,,,,
6101,寬魚國際,8.5,6.8,11.4
6103,合邦,1.4,-2.0,4.8
6104,創惟,8.2,6.9,9.9
6107,華美,-2.4,-3.6,-1.0
6108,競國,3.3,2.3,4.4
6109,亞元,3.0,1.8,4.1
6111,大宇資,13.7,13.1,15.0
6112,聚碩,19.5,18.8,19.8
6113,亞矽,4.2,3.1,5.2
6114,久威,9.1,7.3,11.2
6115,鎰勝,9.6,9.1,10.0
6116,彩晶,6.6,4.9,8.8
6117,迎廣,1.9,1.0,2.7
6118,建達,1.8,0.9,2.8
6120,達運,-1.3,-2.9,0.7
6121,新普,17.2,16.7,17.6
6122,擎邦,4.2,3.5,4.7
6123,上奇,13.0,12.3,13.5
6124,業強,1.1,0.0,2.5
6125,廣運,4.7,3.6,5.9
6126,信音,8.4,7.5,9.3
6127,九豪,8.0,7.0,8.9
6128,上福,9.4,8.8,9.9
6129,普誠,1.6,-0.0,3.5
6130,星寶國際,18.3,17.7,18.8
6131,鈞泰,-6.8,-8.5,-4.7
6133,金橋,-0.7,-1.6,0.3
6134,萬旭,-0.7,-2.0,0.8
6136,富爾特,8.7,8.3,9.2
6138,茂達,10.6,9.6,11.9
6139,亞翔,2.1,1.2,3.4
6140,訊達,9.0,8.2,9.5
6141,柏承,5.7,4.7,6.7
6142,友勁,-1.6,-2.6,0.1
6143,振曜,9.2,8.4,9.9
6144,得利影,2.4,1.5,3.2
6146,耕興,16.1,15.4,16.6
6147,頎邦,6.3,4.6,8.0
6148,驊宏資,8.2,6.8,9.5
6150,撼訊,17.0,15.3,19.1
6151,晉倫,8.0,7.2,8.7
6152,百一,-0.9,-2.4,1.1
6153,嘉聯益,4.6,3.3,6.0
6154,順發,-0.8,-1.3,0.1
6155,鈞寶,4.6,3.8,5.3
6156,松上,3.7,1.2,7.4
6158,禾昌,5.1,4.0,6.7
6160,欣技,-5.3,-6.1,-3.9
6161,捷波,7.0,5.7,8.3
6163,華電網,5.9,5.3,6.5
6164,華興,-1.1,-2.3,0.6
6165,捷泰,9.2,7.5,11.2
6166,凌華,10.9,10.1,11.5
6167,久正,2.0,-0.0,4.0
6168,宏齊,0.3,-0.9,1.8
6169,昱泉,7.1,6.4,8.0
6170,統振,2.3,1.4,3.5
6171,亞銳士,6.5,5.5,7.2
6172,互億,7.8,5.8,10.2
6173,信昌電,14.3,12.9,15.5
6174,安,4.8,3.7,6.2
6175,立敦,11.7,10.6,12.7
6176,瑞儀,12.4,11.5,13.3
6177,達麗,12.4,11.4,13.3
6179,亞通,7.9,6.2,9.5
6180,橘子,11.5,10.8,12.1
6182,合晶,4.9,3.9,6.5
6183,關貿,10.8,10.2,11.3
6184,大豐電,8.7,8.4,8.9
6185,幃翔,2.3,1.3,3.5
6186,新潤,9.7,7.6,12.3
6187,萬潤,10.9,9.4,12.0
6188,廣明,5.6,4.7,6.5
6189,豐藝,8.5,7.8,9.4
6190,萬泰科,6.6,5.6,7.6
6191,精成科,3.5,2.2,5.4
6192,巨路,10.2,9.8,10.6
6194,育富,2.9,2.1,4.0
6195,詩肯,17.8,17.0,18.2
6196,帆宣,15.3,14.2,16.7
6197,佳必琪,4.2,3.4,5.1
6198,凌泰,6.5,4.8,8.0
6199,天品,-0.3,-1.7,1.5
6201,亞弘電,8.4,7.9,8.8
6202,盛群,8.7,7.8,9.5
6203,海韻電,9.7,8.8,10.5
6204,艾華,15.9,14.9,16.8
6205,詮欣,5.0,3.7,6.4
6206,飛捷,9.7,9.2,10.1
6207,雷科,7.6,6.9,8.3
6208,日揚,8.9,7.9,9.8
6209,今國光,0.1,-1.7,2.2
6210,慶生,15.0,14.4,15.4
6212,理銘,16.8,16.1,17.5
6213,聯茂,16.3,15.2,17.5
6214,精誠,10.1,9.2,11.1
6215,和椿,-1.5,-3.3,0.4
6216,居易,6.5,5.7,7.3
6217,中探針,9.2,7.9,10.3
6218,豪勉,7.0,6.4,7.4
6219,富旺,13.1,12.2,14.2
6220,岳豐,6.7,5.6,7.7
6221,晉泰,18.9,18.2,19.3
6222,上揚,3.4,1.9,5.0
6223,旺矽,6.3,5.0,7.8
6224,聚鼎,8.8,7.6,10.0
6225,天瀚,-3.6,-5.7,-1.2
6226,光鼎,0.2,-1.3,1.7
6227,茂綸,6.5,5.5,7.5
6228,全譜,2.8,1.8,3.5
6229,研通,9.3,8.3,10.2
6230,超眾,14.5,13.1,16.2
6231,系微,8.7,7.6,9.8
6233,旺玖,2.9,1.3,5.1
6234,高僑,0.3,-1.9,2.0
6235,華孚,1.6,-0.3,3.9
6236,康呈,1.7,0.5,3.2
6237,驊訊,4.3,2.6,6.4
6238,勝麗,31.3,29.7,33.4
6239,力成,6.1,5.4,7.0
6240,松崗,8.8,7.5,10.2
6241,易通展,12.1,11.1,12.5
6242,立康,13.3,11.9,15.3
6243,迅杰,-6.5,-8.4,-3.8
6244,茂迪,-2.5,-4.8,0.9
6245,立端,10.4,9.1,12.0
6246,臺龍,8.3,6.5,10.3
6247,淇譽電,-4.0,-4.8,-3.1
6248,沛波,5.2,3.5,6.9
6251,定穎,3.6,2.5,4.8
6257,矽格,10.8,9.9,12.0
6259,百徽,4.2,1.5,6.6
6261,久元,5.7,4.9,6.5
6263,普萊德,9.2,8.5,10.1
6264,富裔,-3.9,-5.6,-2.0
6265,方土昶,-0.4,-1.4,0.5
6266,泰詠,11.2,10.3,12.1
6269,台郡,18.5,17.8,19.4
6270,倍微,3.7,2.8,4.8
6271,同欣電,9.6,8.5,10.8
6272,,,,
6274,台燿,17.7,16.5,18.9
6275,元山,4.6,3.3,5.8
6276,安鈦克,12.9,11.1,14.3
6277,宏正,7.3,6.6,7.9
6278,台表科,12.0,10.9,13.3
6279,胡連,12.4,11.6,12.9
6281,全國電,9.4,8.9,9.8
6282,康舒,7.2,6.5,8.2
6283,淳安,6.1,4.0,8.5
6284,佳邦,5.7,4.0,7.6
6285,啟,8.3,7.4,9.3
6287,元隆,5.0,3.5,6.7
6288,聯嘉,16.5,14.6,19.5
6289,華上,-2.5,-5.8,0.7
6290,良維,8.0,6.8,9.3
6291,沛亨,3.8,0.8,6.8
6292,迅德,11.9,11.3,12.5
6294,智基,31.1,26.7,34.2
6403,,,,
6404,通訊-KY,-24.0,-28.1,-17.5
6405,悅城,-3.5,-4.8,-1.2
6407,,,,
6409,旭隼,34.6,33.7,34.9
6411,晶焱,17.8,16.5,19.7
6412,群電,10.4,9.7,11.3
6414,樺漢,6.8,5.9,8.0
6415,矽力-KY,36.1,35.1,36.7
6416,瑞祺電通,-3.8,-5.3,-1.1
6417,韋僑,11.3,10.5,12.2
6418,詠昇,-21.0,-21.5,-17.8
6419,京晨科,-9.7,-12.8,-6.8
6420,,,,
6423,,,,
6425,易發,-8.9,-11.2,-5.3
6426,統新,16.3,15.2,18.0
6427,,,,
6428,,,,
6431,光麗-KY,6.2,4.6,8.5
6432,今展科,3.3,1.5,5.6
6434,,,,
6435,大中,35.5,34.0,36.3
6438,迅得,14.2,12.9,16.1
6441,廣錠,27.9,26.2,29.3
6442,光聖,-6.8,-7.6,-5.3
6443,元晶,22.4,19.8,25.8
6444,,,,
6445,,,,
6446,藥華藥,-12.8,-13.6,-10.4
6449,鈺邦,7.0,5.8,9.1
6451,訊芯-KY,0.7,-1.0,3.6
6452,康友-KY,-12.4,-13.3,-10.4
6456,GIS-KY,0.7,-1.0,2.4
6457,紘康,20.2,18.7,21.5
6461,益得,-17.3,-19.7,-13.9
6462,神盾,4.3,3.4,6.1
6464,台數科,2.2,1.8,2.8
6465,威潤,-4.9,-5.4,-3.7
6468,,,,
6469,大樹,16.7,15.8,17.4
6470,宇智,5.6,4.6,7.1
6472,保瑞,57.4,54.1,59.0
6473,,,,
6474,,,,
6475,,,,
6477,安集,28.5,26.7,30.3
6479,,,,
6482,弘煜科,-11.1,-12.1,-9.5
6483,,,,
6484,,,,
6485,點序,-0.3,-1.1,1.2
6486,互動,27.0,25.7,27.5
6488,環球晶,51.2,49.8,51.8
6490,,,,
6491,晶碩,27.2,25.8,31.6
6492,生華科,15.9,11.8,19.4
6493,,,,
6494,九齊,15.8,14.5,16.9
6495,,,,
6496,科懋,-14.3,-15.2,-12.1
6497,亞獅康-KY,-38.5,-39.6,-27.9
6498,,,,
6499,益安,-15.9,-17.2,-13.2
6504,南六,12.4,11.5,12.9
6505,台塑化,6.2,5.8,6.6
6506,雙邦,4.0,2.9,4.7
6508,惠光,7.0,6.4,7.4
6509,聚和,8.0,7.3,8.6
6510,精測,4.2,2.9,6.4
6511,,,,
6512,啟發電,-14.5,-15.4,-12.6
6514,芮特-KY,-4.0,-5.6,-1.3
6515,,,,
6516,勤崴國際,-24.7,-24.9,-21.8
6517,,,,
6518,,,,
6520,,,,
6523,達爾膚,-12.3,-13.9,-9.0
6525,捷敏-KY,10.7,10.0,12.0
6527,明達醫,-21.6,-21.7,-19.3
6529,,,,
6530,創威,-0.6,-1.8,1.3
6531,愛普,40.4,37.1,43.4
6532,瑞耘,17.8,16.1,18.6
6533,晶心科,19.5,16.2,24.6
6534,,,,
6535,順藥,-8.4,-10.6,-6.5
6536,,,,
6538,倉和,23.9,20.7,26.4
6539,,,,
6541,泰福-KY,-19.3,-20.8,-16.2
6542,隆中,-6.4,-7.6,-4.0
6543,,,,
6545,,,,
6546,,,,
6547,高端疫苗,37.3,34.3,38.9
6548,長科*,-12.2,-14.2,-7.3
6549,,,,
6550,,,,
6552,易華電,12.7,11.4,14.1
6553,,,,
6555,,,,
6556,勝品,3.7,2.3,5.2
6558,興能高,11.9,10.8,14.3
6559,,,,
6560,欣普羅,12.0,8.1,15.0
6561,是方,24.2,21.9,25.3
6562,,,,
6563,,,,
6564,,,,
6565,,,,
6566,,,,
6568,宏觀,0.1,-0.8,1.7
6569,醫揚,2.4,1.3,3.7
6570,維田,6.6,5.6,7.2
6572,,,,
6573,虹揚-KY,-18.2,-19.4,-15.7
6574,霈方,-15.5,-15.7,-13.6
6575,,,,
6576,逸達,15.5,12.7,16.9
6577,勁豐,-0.3,-1.6,0.9
6578,達邦蛋白,-2.8,-3.9,-1.6
6579,研揚,-4.1,-4.6,-2.9
6580,,,,
6581,鋼聯,-8.1,-8.8,-5.9
6582,申豐,27.5,25.4,28.5
6583,,,,
6584,,,,
6585,,,,
6586,,,,
6587,,,,
6588,東典光電,-49.9,-50.1,-46.6
6589,台康生技,23.1,20.3,24.6
6590,普鴻,22.1,19.8,22.9
6591,動力-KY,-3.0,-4.4,-0.1
6592,和潤企業,-5.7,-5.8,-3.6
6593,台灣銘板,-9.2,-9.9,-7.4
6594,展匯科,-7.8,-9.6,-4.5
6595,,,,
6596,寬宏藝術,3.2,2.2,4.9
6597,,,,
6598,ABC-KY,-49.1,-50.1,-45.8
6599,,,,
6603,富強鑫,6.5,5.7,7.1
6605,帝寶,0.5,-0.2,1.5
6606,,,,
6609,瀧澤科,5.0,4.3,5.7
6610,,,,
6611,,,,
6612,奈米醫材,-8.7,-9.7,-6.3
6613,朋億,-0.5,-1.1,0.3
6614,,,,
6615,慧智,-14.5,-15.8,-13.2
6616,特昇-KY,9.4,7.4,13.4
6617,,,,
6618,,,,
6620,,,,
6621,,,,
6622,,,,
6623,,,,
6624,萬年清,-23.8,-23.9,-21.5
6625,必應,-23.7,-23.9,-20.2
6626,,,,
6628,,,,
6629,泰金-KY,34.6,32.4,35.5
6633,,,,
6634,,,,
6635,,,,
6637,,,,
6638,,,,
6639,,,,
6640,均華,21.6,20.4,22.3
6641,基士德-KY,-2.6,-3.2,-1.1
6642,富致,13.7,12.4,15.3
6643,M31,11.4,10.0,13.7
6645,,,,
6646,,,,
6647,,,,
6648,,,,
6649,台生材,-21.0,-21.9,-16.9
6650,,,,
6651,,,,
6652,,,,
6654,天正國際,1.0,0.3,3.1
6655,科定,-2.4,-3.3,-0.8
6656,,,,
6657,,,,
6658,,,,
6659,,,,
6660,,,,
6661,,,,
6662,樂斯科,-13.6,-14.8,-11.3
6663,,,,
6664,群翊,8.5,7.5,9.8
6665,,,,
6666,羅麗芬-KY,-0.5,-1.2,0.8
6667,信紘科,24.3,22.8,25.7
6668,中揚光,-13.7,-14.1,-11.1
6669,緯穎,39.2,37.0,40.4
6670,復盛應用,7.0,6.2,7.8
6671,三能-KY,-1.5,-2.0,-0.3
6672,騰輝電子-KY,-11.5,-11.7,-9.7
6673,,,,
6674,鋐寶科技,-1.9,-2.8,1.0
6676,,,,
6677,,,,
6679,鈺太,56.4,53.5,58.8
6680,鑫創電子,-3.9,-4.5,-2.8
6682,,,,
6683,雍智科技,57.8,54.5,61.8
6684,,,,
6688,,,,
6689,,,,
6690,安硌穈T,8.6,6.7,9.8
6691,,,,
6692,,,,
6693,,,,
6694,,,,
6695,,,,
6696,,,,
6697,東捷資訊,-7.4,-8.1,-5.6
6698,旭暉應材,-21.3,-21.9,-18.5
6699,,,,
6703,軒郁,2.2,1.5,3.2
6704,,,,
6705,,,,
6706,惠特,47.3,45.1,50.2
6707,,,,
6708,,,,
6709,,,,
6712,,,,
6713,,,,
6715,嘉基,18.1,16.5,19.7
6716,應廣,51.4,47.7,52.0
6717,,,,
6719,,,,
6720,,,,
6721,,,,
6722,,,,
6723,,,,
6724,,,,
6725,,,,
6726,,,,
6727,亞泰金屬,-7.0,-7.4,-6.1
6728,上洋,16.7,15.7,17.9
6729,,,,
6730,,,,
6731,,,,
6732,昇佳電子,4.2,3.3,5.2
6733,,,,
6734,,,,
6735,,,,
6736,,,,
6737,,,,
6738,,,,
6739,,,,
6740,,,,
6742,,,,
6743,安普新,13.8,12.5,13.9
6744,,,,
6746,,,,
6747,,,,
6748,,,,
6749,,,,
6750,,,,
6751,智聯服務,-9.6,-9.8,-9.0
6752,叡揚,4.3,4.1,4.6
6753,,,,
6754,匯僑設計,-23.2,-23.5,-21.5
6755,,,,
6756,威鋒電子,-10.4,-10.6,-9.6
6757,,,,
6758,,,,
6760,,,,
6761,,,,
6762,達亞,2.4,2.2,2.8
6763,,,,
6764,,,,
6767,,,,
6770,,,,
6771,,,,
6772,,,,
6775,,,,
6776,,,,
6778,,,,
6779,,,,
6780,,,,
6782,,,,
6784,,,,
6785,,,,
6786,,,,
6787,,,,
6788,,,,
6789,,,,
6790,,,,
6791,,,,
6792,,,,
6793,,,,
6794,,,,
6795,,,,
6796,,,,
6797,,,,
6798,,,,
6799,,,,
6803,崑鼎,9.9,9.5,10.2
6804,,,,
6805,,,,
6806,,,,
6808,,,,
6810,,,,
6811,,,,
6812,,,,
6813,,,,
6814,,,,
6815,,,,
6816,,,,
6817,,,,
6818,,,,
6819,,,,
6820,,,,
6821,,,,
6822,,,,
6823,,,,
6824,,,,
6825,,,,
6826,,,,
6827,,,,
7402,邑錡,-11.1,-11.9,-9.3
7419,,,,
7427,,,,
7443,,,,
7452,,,,
7507,,,,
7516,,,,
7547,,,,
7551,,,,
7555,,,,
7556,意德士,4.1,3.0,4.8
7558,,,,
7561,,,,
7566,,,,
7570,,,,
7575,,,,
7584,,,,
7595,,,,
8011,台通,-2.0,-2.8,-0.2
8015,,,,
8016,矽創,9.4,8.3,10.6
8021,尖點,0.8,-0.5,2.4
8022,,,,
8024,佑華,-0.6,-1.5,0.4
8027,鈦昇,20.8,18.1,23.7
8028,昇陽半導體,14.8,13.3,17.2
8029,,,,
8032,光菱,4.0,2.9,5.2
8033,雷虎,-1.1,-2.6,0.5
8034,榮群,4.8,3.2,6.1
8038,長園科,-5.2,-6.2,-2.8
8039,台虹,5.8,4.3,7.6
8040,九暘,0.5,-1.8,2.5
8041,,,,
8042,金山電,11.7,11.0,12.3
8043,蜜望實,4.4,3.3,5.8
8044,網家,7.9,6.9,8.9
8045,,,,
8046,南電,5.8,4.0,7.7
8047,星雲,1.5,0.6,2.1
8048,德勝,7.9,6.9,8.7
8049,晶采,7.2,5.4,8.9
8050,廣積,5.3,4.7,6.0
8053,巨擘,-20.5,-23.0,-15.0
8054,安國,-1.8,-2.6,-0.5
8059,凱碩,-2.0,-4.1,0.0
